ItemID,year,WeekIdentifier,SalesChannel,Territory,NewBasePrice,SellingStoresRatio,SalesQuantity,revenues,Category,SubCategory,Cat,SubCat,Item
te5tHWY15,2018,36,Stores,AXX,21.17,0.08,4.0,84.68,xF4EZaTy,AunzRwr2,xF4E,Aunz,te5tH
te5tHWY15,2018,37,Stores,AXX,21.17,0.007,4.0,84.68,xF4EZaTy,AunzRwr2,xF4E,Aunz,te5tH
yYAY5pI85,2018,38,Stores,YXX,23.33,0.0879,7.0,163.31,HZlnatsW,yo2ZtUyf,HZln,yo2Z,yYAY5
yYAY5pI85,2018,38,Stores,AXX,24.08,0.3116,15.0,361.2,HZlnatsW,yo2ZtUyf,HZln,yo2Z,yYAY5
Sp6FmlM84,2018,38,Stores,AXX,18.01,0.0908,2.0,36.02,xF4EZaTy,AunzRwr2,xF4E,Aunz,Sp6Fm
te5tHWY15,2018,38,Stores,AXX,21.17,0.02,3.0,63.51,xF4EZaTy,AunzRwr2,xF4E,Aunz,te5tH
yYAY5pI85,2018,39,Stores,YXX,21.33,0.1111,2.0,42.66,HZlnatsW,yo2ZtUyf,HZln,yo2Z,yYAY5
yYAY5pI85,2018,39,Stores,AXX,19.08,0.4254,30.0,572.4,HZlnatsW,yo2ZtUyf,HZln,yo2Z,yYAY5
Sp6FmlM84,2018,39,Stores,YXX,15.46,0.0735,5.0,77.3,xF4EZaTy,AunzRwr2,xF4E,Aunz,Sp6Fm
Sp6FmlM84,2018,39,Stores,AXX,15.01,0.3497,66.0,990.66,xF4EZaTy,AunzRwr2,xF4E,Aunz,Sp6Fm
te5tHWY15,2018,39,Stores,AXX,21.17,0.058,2.0,42.34,xF4EZaTy,AunzRwr2,xF4E,Aunz,te5tH
hQjJxUI52,2018,39,Stores,AXX,12.8,0.1498,27.0,345.6,xF4EZaTy,sldfL1J4,xF4E,sldf,hQjJx
yYAY5pI85,2018,40,Stores,YXX,20.33,0.0991,3.0,60.99,HZlnatsW,yo2ZtUyf,HZln,yo2Z,yYAY5
yYAY5pI85,2018,40,Stores,AXX,25.08,0.5459,34.0,852.72,HZlnatsW,yo2ZtUyf,HZln,yo2Z,yYAY5
h4NaW1c90,2018,40,Stores,AXX,20.21,0.055,5.0,101.05,xF4EZaTy,AunzRwr2,xF4E,Aunz,h4NaW
ZBeEZhA30,2018,40,Stores,YXX,30.51,0.1095,6.0,183.06,HZlnatsW,yo2ZtUyf,HZln,yo2Z,ZBeEZ
ZBeEZhA30,2018,40,Stores,AXX,30.51,0.3823999999999999,66.0,2013.66,HZlnatsW,yo2ZtUyf,HZln,yo2Z,ZBeEZ
CzbHWb461,2018,40,Stores,AXX,16.28,0.1887,22.0,358.16,xF4EZaTy,UIpuKoxR,xF4E,UIpu,CzbHW
NWpKkFc27,2018,40,Stores,YXX,23.96,0.0685,17.0,407.32,4ThiCT_Z,Mm5PoR88,4Thi,Mm5P,NWpKk
NWpKkFc27,2018,40,Stores,AXX,18.38,0.7596,292.0,5366.96,4ThiCT_Z,Mm5PoR88,4Thi,Mm5P,NWpKk
xWuIFzs92,2018,40,Stores,YXX,22.14,0.0339,5.0,110.7,bwPDJC3m,xdDed-iG,bwPD,xdDe,xWuIF
xWuIFzs92,2018,40,Stores,AXX,22.14,0.1132,18.0,398.52,bwPDJC3m,xdDed-iG,bwPD,xdDe,xWuIF
Sp6FmlM84,2018,40,Stores,YXX,12.46,0.1278999999999999,12.0,149.52,xF4EZaTy,AunzRwr2,xF4E,Aunz,Sp6Fm
Sp6FmlM84,2018,40,Stores,AXX,17.01,0.4276,84.0,1428.84,xF4EZaTy,AunzRwr2,xF4E,Aunz,Sp6Fm
Xq3xDE495,2018,40,Stores,YXX,24.65,0.0863,9.0,221.85,HZlnatsW,14iCK1vp,HZln,14iC,Xq3xD
TNoPm4w52,2018,40,Stores,YXX,21.59,0.079,1.0,21.59,4ThiCT_Z,Mm5PoR88,4Thi,Mm5P,TNoPm
TNoPm4w52,2018,40,Stores,AXX,21.59,0.0359,8.0,172.72,4ThiCT_Z,Mm5PoR88,4Thi,Mm5P,TNoPm
Xq3xDE495,2018,40,Stores,AXX,24.65,0.2054,42.0,1035.3,HZlnatsW,14iCK1vp,HZln,14iC,Xq3xD
grcWcmA91,2018,40,Stores,YXX,21.09,0.0039,7.0,147.63,HZlnatsW,14iCK1vp,HZln,14iC,grcWc
grcWcmA91,2018,40,Stores,AXX,21.09,0.2971,39.0,822.51,HZlnatsW,14iCK1vp,HZln,14iC,grcWc
UvtEpOI58,2018,40,Stores,YXX,17.89,0.0629,7.0,125.23,HZlnatsW,14iCK1vp,HZln,14iC,UvtEp
UvtEpOI58,2018,40,Stores,AXX,17.89,0.1107,18.0,322.02,HZlnatsW,14iCK1vp,HZln,14iC,UvtEp
xIdqOfc54,2018,40,Stores,YXX,19.65,0.0941,14.0,275.1,bwPDJC3m,xdDed-iG,bwPD,xdDe,xIdqO
xIdqOfc54,2018,40,Stores,AXX,19.65,0.2731,75.0,1473.75,bwPDJC3m,xdDed-iG,bwPD,xdDe,xIdqO
jY0LIAk94,2018,40,Stores,YXX,15.05,0.1709,14.0,210.7,HZlnatsW,yo2ZtUyf,HZln,yo2Z,jY0LI
I4t3gpQ29,2018,40,Stores,YXX,19.91,0.1044,7.0,139.37,xF4EZaTy,sldfL1J4,xF4E,sldf,I4t3g
I4t3gpQ29,2018,40,Stores,AXX,16.23,0.2092,24.0,389.52,xF4EZaTy,sldfL1J4,xF4E,sldf,I4t3g
jY0LIAk94,2018,40,Stores,AXX,15.05,0.64905,215.0,3235.75,HZlnatsW,yo2ZtUyf,HZln,yo2Z,jY0LI
5bEtm6430,2018,40,Stores,YXX,20.94,0.0487,6.0,125.64,xF4EZaTy,AunzRwr2,xF4E,Aunz,5bEtm
5bEtm6430,2018,40,Stores,AXX,20.94,0.1694999999999999,17.0,355.98,xF4EZaTy,AunzRwr2,xF4E,Aunz,5bEtm
28sj_po12,2018,40,Stores,AXX,20.28,0.2301,71.0,1439.88,xF4EZaTy,AunzRwr2,xF4E,Aunz,28sj_
9C_KRCs69,2018,40,Stores,YXX,21.83,0.0873,3.0,65.49,HZlnatsW,yo2ZtUyf,HZln,yo2Z,9C_KR
9C_KRCs69,2018,40,Stores,AXX,17.48,0.9398,40.0,699.2,HZlnatsW,yo2ZtUyf,HZln,yo2Z,9C_KR
hQjJxUI52,2018,40,Stores,YXX,12.8,0.1391,13.0,166.4,xF4EZaTy,sldfL1J4,xF4E,sldf,hQjJx
hQjJxUI52,2018,40,Stores,AXX,12.8,0.5662,93.0,1190.4,xF4EZaTy,sldfL1J4,xF4E,sldf,hQjJx
dtYQMwk84,2018,40,Stores,YXX,22.99,0.0918,3.0,68.97,bwPDJC3m,xdDed-iG,bwPD,xdDe,dtYQM
28sj_po12,2018,40,Stores,YXX,20.08,0.0429,4.0,80.32,xF4EZaTy,AunzRwr2,xF4E,Aunz,28sj_
dtYQMwk84,2018,40,Stores,AXX,22.99,0.1483999999999999,43.0,988.57,bwPDJC3m,xdDed-iG,bwPD,xdDe,dtYQM
52EVihM31,2018,40,Stores,YXX,22.86,0.083,4.0,91.44,4ThiCT_Z,Mm5PoR88,4Thi,Mm5P,52EVi
52EVihM31,2018,40,Stores,AXX,22.86,0.0413,10.0,228.6,4ThiCT_Z,Mm5PoR88,4Thi,Mm5P,52EVi
yYAY5pI85,2018,41,Stores,YXX,22.33,0.1664,6.0,133.98,HZlnatsW,yo2ZtUyf,HZln,yo2Z,yYAY5
HQj3Vyg67,2018,41,Stores,AXX,18.03,0.181,27.0,486.81,xF4EZaTy,AunzRwr2,xF4E,Aunz,HQj3V
yYAY5pI85,2018,41,Stores,AXX,24.08,0.4985,45.0,1083.6,HZlnatsW,yo2ZtUyf,HZln,yo2Z,yYAY5
h4NaW1c90,2018,41,Stores,YXX,20.21,0.0119,7.0,141.47,xF4EZaTy,AunzRwr2,xF4E,Aunz,h4NaW
h4NaW1c90,2018,41,Stores,AXX,20.21,0.2547,66.0,1333.86,xF4EZaTy,AunzRwr2,xF4E,Aunz,h4NaW
He0fYYc63,2018,41,Stores,AXX,23.28,0.0506,5.0,116.4,HZlnatsW,yo2ZtUyf,HZln,yo2Z,He0fY
kNpVu2o59,2018,41,Stores,AXX,22.75,0.1345,15.0,341.25,bwPDJC3m,xdDed-iG,bwPD,xdDe,kNpVu
9n_f9g417,2018,41,Stores,AXX,24.56,0.3918,118.0,2898.08,bwPDJC3m,xdDed-iG,bwPD,xdDe,9n_f9
0buNITk59,2018,41,Stores,AXX,25.16,0.7182000000000001,130.0,3270.8,xF4EZaTy,UIpuKoxR,xF4E,UIpu,0buNI
9n_f9g417,2018,41,Stores,YXX,24.56,0.0851,10.0,245.6,bwPDJC3m,xdDed-iG,bwPD,xdDe,9n_f9
ZBeEZhA30,2018,41,Stores,YXX,30.51,0.0747,8.0,244.08,HZlnatsW,yo2ZtUyf,HZln,yo2Z,ZBeEZ
ZBeEZhA30,2018,41,Stores,AXX,30.51,0.3171,73.0,2227.23,HZlnatsW,yo2ZtUyf,HZln,yo2Z,ZBeEZ
b1gjvDw99,2018,41,Stores,YXX,15.37,0.0278,5.0,76.85,HZlnatsW,14iCK1vp,HZln,14iC,b1gjv
b1gjvDw99,2018,41,Stores,AXX,15.37,0.1691,28.0,430.36,HZlnatsW,14iCK1vp,HZln,14iC,b1gjv
CzbHWb461,2018,41,Stores,YXX,21.08,0.0481,9.0,189.72,xF4EZaTy,UIpuKoxR,xF4E,UIpu,CzbHW
CzbHWb461,2018,41,Stores,AXX,16.28,0.7114999999999999,113.0,1839.64,xF4EZaTy,UIpuKoxR,xF4E,UIpu,CzbHW
NWpKkFc27,2018,41,Stores,YXX,22.96,0.1334,32.0,734.72,4ThiCT_Z,Mm5PoR88,4Thi,Mm5P,NWpKk
NWpKkFc27,2018,41,Stores,AXX,21.38,0.9273,377.0,8060.26,4ThiCT_Z,Mm5PoR88,4Thi,Mm5P,NWpKk
VDFm0X892,2018,41,Stores,YXX,12.46,0.0445,8.0,99.68,xF4EZaTy,AunzRwr2,xF4E,Aunz,VDFm0
VDFm0X892,2018,41,Stores,AXX,18.01,0.4025999999999999,95.0,1710.95,xF4EZaTy,AunzRwr2,xF4E,Aunz,VDFm0
xWuIFzs92,2018,41,Stores,YXX,22.14,0.009,5.0,110.7,bwPDJC3m,xdDed-iG,bwPD,xdDe,xWuIF
xWuIFzs92,2018,41,Stores,AXX,22.14,0.0613,11.0,243.54,bwPDJC3m,xdDed-iG,bwPD,xdDe,xWuIF
Sp6FmlM84,2018,41,Stores,YXX,13.46,0.0409,8.0,107.68,xF4EZaTy,AunzRwr2,xF4E,Aunz,Sp6Fm
Sp6FmlM84,2018,41,Stores,AXX,18.01,0.4354,108.0,1945.08,xF4EZaTy,AunzRwr2,xF4E,Aunz,Sp6Fm
TNoPm4w52,2018,41,Stores,AXX,21.59,0.0891,15.0,323.85,4ThiCT_Z,Mm5PoR88,4Thi,Mm5P,TNoPm
TNoPm4w52,2018,41,Stores,YXX,21.59,0.096,5.0,107.95,4ThiCT_Z,Mm5PoR88,4Thi,Mm5P,TNoPm
o1xNODo70,2018,41,Stores,AXX,17.95,0.088,2.0,35.9,xF4EZaTy,AunzRwr2,xF4E,Aunz,o1xNO
Xq3xDE495,2018,41,Stores,YXX,24.65,0.0385,9.0,221.85,HZlnatsW,14iCK1vp,HZln,14iC,Xq3xD
Xq3xDE495,2018,41,Stores,AXX,24.65,0.1615,40.0,986.0,HZlnatsW,14iCK1vp,HZln,14iC,Xq3xD
UvtEpOI58,2018,41,Stores,AXX,17.89,0.1208,17.0,304.13,HZlnatsW,14iCK1vp,HZln,14iC,UvtEp
grcWcmA91,2018,41,Stores,YXX,21.09,0.1008,4.0,84.36,HZlnatsW,14iCK1vp,HZln,14iC,grcWc
grcWcmA91,2018,41,Stores,AXX,21.09,0.2371,42.0,885.78,HZlnatsW,14iCK1vp,HZln,14iC,grcWc
UvtEpOI58,2018,41,Stores,YXX,17.89,0.0609,7.0,125.23,HZlnatsW,14iCK1vp,HZln,14iC,UvtEp
0buNITk59,2018,41,Stores,YXX,25.16,0.0902,16.0,402.56,xF4EZaTy,UIpuKoxR,xF4E,UIpu,0buNI
GfgvS-U47,2018,41,Stores,YXX,20.87,0.0409,4.0,83.48,HZlnatsW,OzTP0IWS,HZln,OzTP,GfgvS
GfgvS-U47,2018,41,Stores,AXX,20.87,0.1047,24.0,500.88,HZlnatsW,OzTP0IWS,HZln,OzTP,GfgvS
PhF8UNg40,2018,41,Stores,AXX,18.46,0.0925,8.0,147.68,bwPDJC3m,xdDed-iG,bwPD,xdDe,PhF8U
xIdqOfc54,2018,41,Stores,YXX,19.65,0.108,13.0,255.45,bwPDJC3m,xdDed-iG,bwPD,xdDe,xIdqO
xIdqOfc54,2018,41,Stores,AXX,19.65,0.328,85.0,1670.25,bwPDJC3m,xdDed-iG,bwPD,xdDe,xIdqO
jY0LIAk94,2018,41,Stores,YXX,15.05,0.205,20.0,301.0,HZlnatsW,yo2ZtUyf,HZln,yo2Z,jY0LI
jY0LIAk94,2018,41,Stores,AXX,15.05,0.7130000000000001,228.0,3431.4,HZlnatsW,yo2ZtUyf,HZln,yo2Z,jY0LI
I4t3gpQ29,2018,41,Stores,YXX,15.91,0.0424,8.0,127.28,xF4EZaTy,sldfL1J4,xF4E,sldf,I4t3g
I4t3gpQ29,2018,41,Stores,AXX,13.23,0.2054,27.0,357.21,xF4EZaTy,sldfL1J4,xF4E,sldf,I4t3g
5bEtm6430,2018,41,Stores,AXX,20.94,0.1252,14.0,293.16,xF4EZaTy,AunzRwr2,xF4E,Aunz,5bEtm
5bEtm6430,2018,41,Stores,YXX,20.94,0.0377,3.0,62.82,xF4EZaTy,AunzRwr2,xF4E,Aunz,5bEtm
9C_KRCs69,2018,41,Stores,YXX,20.83,0.1144,4.0,83.32,HZlnatsW,yo2ZtUyf,HZln,yo2Z,9C_KR
9C_KRCs69,2018,41,Stores,AXX,21.48,0.9413,42.0,902.16,HZlnatsW,yo2ZtUyf,HZln,yo2Z,9C_KR
hQjJxUI52,2018,41,Stores,YXX,12.8,0.133,18.0,230.4,xF4EZaTy,sldfL1J4,xF4E,sldf,hQjJx
hQjJxUI52,2018,41,Stores,AXX,12.8,0.6812999999999999,107.0,1369.6,xF4EZaTy,sldfL1J4,xF4E,sldf,hQjJx
OldxBNE85,2018,41,Stores,AXX,20.72,0.57135,276.0,5718.72,xF4EZaTy,AunzRwr2,xF4E,Aunz,OldxB
OldxBNE85,2018,41,Stores,YXX,20.72,0.1654,16.0,331.52,xF4EZaTy,AunzRwr2,xF4E,Aunz,OldxB
dtYQMwk84,2018,41,Stores,YXX,22.99,0.0229,3.0,68.97,bwPDJC3m,xdDed-iG,bwPD,xdDe,dtYQM
dtYQMwk84,2018,41,Stores,AXX,22.99,0.0925,43.0,988.57,bwPDJC3m,xdDed-iG,bwPD,xdDe,dtYQM
28sj_po12,2018,41,Stores,YXX,22.08,0.0499,6.0,132.48,xF4EZaTy,AunzRwr2,xF4E,Aunz,28sj_
28sj_po12,2018,41,Stores,AXX,21.28,0.2166,64.0,1361.92,xF4EZaTy,AunzRwr2,xF4E,Aunz,28sj_
52EVihM31,2018,41,Stores,YXX,22.86,0.092,2.0,45.72,4ThiCT_Z,Mm5PoR88,4Thi,Mm5P,52EVi
52EVihM31,2018,41,Stores,AXX,22.86,0.0463,12.0,274.32,4ThiCT_Z,Mm5PoR88,4Thi,Mm5P,52EVi
HQj3Vyg67,2018,42,Stores,YXX,19.16,0.0459,2.0,38.32,xF4EZaTy,AunzRwr2,xF4E,Aunz,HQj3V
HQj3Vyg67,2018,42,Stores,AXX,18.03,0.4777,198.0,3569.94,xF4EZaTy,AunzRwr2,xF4E,Aunz,HQj3V
yYAY5pI85,2018,42,Stores,YXX,21.33,0.1623,10.0,213.3,HZlnatsW,yo2ZtUyf,HZln,yo2Z,yYAY5
yYAY5pI85,2018,42,Stores,AXX,19.08,0.60795,46.0,877.68,HZlnatsW,yo2ZtUyf,HZln,yo2Z,yYAY5
