NewBasePrice,SellingStoresRatio,S_8qIm,S_Aunz,S_Mm5P,S_OzTP,S_UIpu,S_WeHS,S_qE16,S_sldf,S_xdDe,S_yo2Z,T_YXX
15.91,0.2779999999999999,False,False,False,False,False,False,False,False,False,True,True
24.86,0.1005,False,True,False,False,False,False,False,False,False,False,False
23.08,0.0229,False,True,False,False,False,False,False,False,False,False,True
20.48,0.7368,False,False,False,False,False,True,False,False,False,False,False
20.9,0.0906,False,False,False,False,False,False,False,False,True,False,False
23.08,0.0599,False,True,False,False,False,False,False,False,False,False,True
18.44,0.0403,False,False,True,False,False,False,False,False,False,False,True
16.23,0.8841,False,False,False,False,False,False,False,False,False,True,False
14.78,0.2881,False,False,True,False,False,False,False,False,False,False,False
18.38,0.1438,False,True,False,False,False,False,False,False,False,False,False
21.09,0.0709,False,False,False,False,False,False,False,False,False,False,True
22.73,0.3519,False,False,False,False,False,False,False,False,False,True,False
19.85,0.1505,False,False,False,True,False,False,False,False,False,False,False
12.8,0.5272,False,False,False,False,False,False,False,True,False,False,False
18.46,0.0854,False,False,False,False,False,False,False,False,True,False,False
20.83,0.0608,False,False,False,False,False,False,False,False,False,True,True
25.98,0.1835999999999999,False,False,False,True,False,False,False,False,False,False,False
19.65,0.2698,False,False,False,False,False,False,False,False,True,False,False
20.87,0.2183,False,False,False,True,False,False,False,False,False,False,False
23.96,0.1182,False,False,True,False,False,False,False,False,False,False,True
25.5,0.0458,False,False,False,False,False,False,False,False,False,False,True
20.11,0.0626999999999999,False,False,False,False,False,False,True,False,False,False,True
25.44,0.3481,False,False,False,False,False,False,True,False,False,False,False
17.89,0.1496,False,False,False,False,False,False,False,False,False,False,False
19.38,0.1081999999999999,False,False,False,False,False,False,False,False,False,False,False
17.95,0.0518,False,True,False,False,False,False,False,False,False,False,True
23.28,0.4407999999999999,False,False,True,False,False,False,False,False,False,False,False
22.96,0.1396,False,False,False,False,False,False,False,False,False,True,True
19.84,0.1037,False,False,True,False,False,False,False,False,False,False,True
16.58,0.0816,False,False,True,False,False,False,False,False,False,False,False
19.58,0.6073000000000001,False,False,True,False,False,False,False,False,False,False,False
18.46,0.0284999999999999,False,False,False,False,False,False,False,False,True,False,False
14.23,0.0448,False,False,True,False,False,False,False,False,False,False,True
19.83,0.0351999999999999,False,False,True,False,False,False,False,False,False,False,True
17.58,0.1777,False,False,False,False,False,False,False,False,True,False,False
29.66,0.0893,False,False,False,False,False,True,False,False,False,False,True
16.38,0.4444,False,False,True,False,False,False,False,False,False,False,False
12.91,0.0538,False,False,False,False,False,False,False,True,False,False,True
19.84,0.0393,False,False,True,False,False,False,False,False,False,False,True
15.58,0.1255,False,False,False,False,False,False,False,False,False,True,False
21.09,0.0828,False,False,False,False,False,False,False,False,False,False,True
24.19,0.1123,False,False,False,False,False,False,True,False,False,False,True
24.56,0.0565,False,False,False,False,False,False,False,False,True,False,True
15.13,0.2427,False,False,False,False,False,False,False,True,False,False,False
20.96,0.0347,False,False,True,False,False,False,False,False,False,False,True
20.72,0.1195,False,True,False,False,False,False,False,False,False,False,True
24.56,0.1516,False,False,False,False,False,False,False,False,True,False,False
22.72,0.0419,False,False,False,False,False,False,False,False,True,False,True
21.09,0.0540999999999999,False,False,False,False,False,False,False,False,False,False,False
18.01,0.4354,False,True,False,False,False,False,False,False,False,False,False
22.98,0.1987,False,False,False,True,False,False,False,False,False,False,False
23.77,0.0199,False,True,False,False,False,False,False,False,False,False,True
12.8,0.1391,False,False,False,False,False,False,False,True,False,False,True
21.59,0.1091,False,False,True,False,False,False,False,False,False,False,False
17.23,0.1397,False,True,False,False,False,False,False,False,False,False,False
20.03,0.0959,False,False,False,False,False,False,False,True,False,False,True
23.77,0.2128,False,False,False,False,False,False,True,False,False,False,False
17.28,0.0744,False,True,False,False,False,False,False,False,False,False,False
20.11,0.2041,False,False,False,False,False,False,True,False,False,False,False
16.28,0.3386,False,False,True,False,False,False,False,False,False,False,False
20.21,0.0459,False,True,False,False,False,False,False,False,False,False,True
20.66,0.0414999999999999,False,False,False,False,False,False,False,False,True,False,True
15.37,0.1473,False,False,False,False,False,False,False,False,False,False,False
18.91,0.0881,False,False,True,False,False,False,False,False,False,False,True
25.29,0.0778,False,False,False,False,False,False,True,False,False,False,False
21.48,0.0772,False,False,True,False,False,False,False,False,False,False,True
22.96,0.0937,False,True,False,False,False,False,False,False,False,False,True
17.89,0.0448,False,False,False,False,False,False,False,False,False,False,True
25.23,0.0649,False,False,False,False,False,False,False,False,True,False,True
22.14,0.0528,False,False,False,False,False,False,False,False,True,False,True
13.58,0.3002,False,True,False,False,False,False,False,False,False,False,False
38.0,0.2967,False,False,False,False,False,True,False,False,False,False,False
21.42,0.1078,False,False,False,False,False,False,False,False,True,False,True
15.48,0.1815,False,False,False,False,False,False,False,False,False,False,False
19.23,0.3247,False,False,False,False,False,False,False,True,False,False,False
24.86,0.0438999999999999,False,True,False,False,False,False,False,False,False,False,False
18.48,0.99,False,False,False,False,False,True,False,False,False,False,False
15.23,0.2076,False,False,False,False,False,False,False,True,False,False,False
20.98,0.0491,False,False,True,False,False,False,False,False,False,False,True
25.23,0.013,False,False,False,False,False,True,False,False,False,False,False
20.28,0.1131,False,True,False,False,False,False,False,False,False,False,False
17.91,0.0351,False,False,False,False,False,False,False,False,False,True,True
14.03,0.049,False,False,False,False,False,False,False,True,False,False,True
14.48,0.0994,False,False,False,False,False,False,False,False,False,True,True
24.3,0.1068,False,False,True,False,False,False,False,False,False,False,False
24.21,0.0628,False,False,True,False,False,False,False,False,False,False,True
15.44,0.1101999999999999,False,False,True,False,False,False,False,False,False,False,True
16.01,0.6396999999999999,False,True,False,False,False,False,False,False,False,False,False
24.56,0.1043999999999999,False,False,False,False,False,False,False,False,True,False,False
22.68,0.0869,False,False,False,False,False,True,False,False,False,False,True
20.87,0.19,False,False,False,True,False,False,False,False,False,False,False
15.58,0.0575,False,False,False,False,False,False,False,False,False,True,False
19.03,0.176,False,True,False,False,False,False,False,False,False,False,False
24.62,0.7396,False,False,False,False,False,True,False,False,False,False,False
20.94,0.3009,False,True,False,False,False,False,False,False,False,False,False
22.98,0.0805,False,False,False,False,False,True,False,False,False,False,True
21.28,0.022,False,False,False,False,False,False,False,False,False,True,False
15.38,0.2042999999999999,False,False,True,False,False,False,False,False,False,False,False
18.58,0.2649,False,False,True,False,False,False,False,False,False,False,False
25.08,0.1083,False,False,True,False,False,False,False,False,False,False,True
17.96,0.1095,False,False,True,False,False,False,False,False,False,False,True
20.18,0.3285,False,False,True,False,False,False,False,False,False,False,False
17.48,0.0537,False,False,True,False,False,False,False,False,False,False,True
17.01,0.8545999999999999,False,True,False,False,False,False,False,False,False,False,False
22.08,0.0683,False,False,True,False,False,False,False,False,False,False,True
25.21,0.0614,False,False,True,False,False,False,False,False,False,False,True
21.59,0.0267,False,False,True,False,False,False,False,False,False,False,True
19.48,0.9551,False,False,False,False,False,True,False,False,False,False,False
22.08,0.0368,False,False,True,False,False,False,False,False,False,False,True
19.08,0.0504,False,False,True,False,False,False,False,False,False,False,True
16.48,0.0609,False,False,False,False,False,False,False,False,True,False,True
20.21,0.055,False,True,False,False,False,False,False,False,False,False,False
23.18,0.7336,False,False,False,False,False,True,False,False,False,False,False
17.91,0.2092,False,False,False,False,False,False,False,False,False,True,True
17.52,0.1553,False,False,False,False,False,True,False,False,False,False,False
20.21,0.0849,False,True,False,False,False,False,False,False,False,False,True
20.87,0.0498,False,False,False,True,False,False,False,False,False,False,False
28.61,0.0639,False,False,False,False,False,True,False,False,False,False,True
20.74,0.1003999999999999,False,False,False,False,False,True,False,False,False,False,True
25.29,0.1039,False,False,False,False,False,False,True,False,False,False,True
18.46,0.1059,False,False,False,False,False,False,False,False,True,False,False
26.61,0.0368,False,False,False,False,False,True,False,False,False,False,True
25.86,0.1434,False,False,True,False,False,False,False,False,False,False,False
17.48,0.2504,False,False,False,False,False,False,False,False,False,False,False
14.78,0.4634999999999999,True,False,False,False,False,False,False,False,False,False,False
16.58,0.2873,False,False,True,False,False,False,False,False,False,False,False
14.91,0.2668,False,False,False,False,False,False,False,False,False,True,True
18.08,0.0491,False,False,False,False,True,False,False,False,False,False,True
17.84,0.0883,False,False,False,False,False,False,False,True,False,False,True
17.48,0.4466,False,False,True,False,False,False,False,False,False,False,False
23.23,0.1465,False,False,False,False,False,True,False,False,False,False,False
13.11,0.6067,False,True,False,False,False,False,False,False,False,False,False
12.8,0.0951,False,False,False,False,False,False,False,True,False,False,True
16.83,0.1014999999999999,False,False,True,False,False,False,False,False,False,False,True
17.23,0.1856999999999999,False,False,True,False,False,False,False,False,False,False,True
38.0,0.0908,False,False,False,False,False,True,False,False,False,False,True
25.33,0.0389,False,False,True,False,False,False,False,False,False,False,True
21.21,0.0354,False,False,False,False,False,False,False,False,True,False,True
22.73,0.2458,False,False,False,False,False,False,False,False,False,True,False
22.75,0.1027,False,False,False,False,False,False,False,False,True,False,True
22.86,0.2925,False,False,True,False,False,False,False,False,False,False,False
16.58,0.2895999999999999,False,False,True,False,False,False,False,False,False,False,False
20.94,0.0942,False,True,False,False,False,False,False,False,False,False,True
21.08,0.0944,False,False,True,False,False,False,False,False,False,False,True
17.36,0.1078,False,False,True,False,False,False,False,False,False,False,True
18.76,0.2171,False,False,False,False,False,False,False,False,False,True,True
23.77,0.1291999999999999,False,False,False,False,False,False,True,False,False,False,False
20.74,0.2125,False,False,False,False,False,True,False,False,False,False,False
20.94,0.0915,False,True,False,False,False,False,False,False,False,False,True
20.58,0.1508,False,False,False,False,False,False,False,False,False,False,False
24.62,0.0612,False,False,False,False,False,True,False,False,False,False,True
20.9,0.0108,False,False,False,False,False,False,False,False,True,False,True
12.8,0.1344,False,False,False,False,False,False,False,True,False,False,True
17.95,0.0089,False,True,False,False,False,False,False,False,False,False,True
22.14,0.1447999999999999,False,False,False,False,False,False,False,False,True,False,False
26.21,0.037,False,False,False,False,False,False,True,False,False,False,True
19.48,0.0267,False,False,False,False,False,False,False,False,True,False,True
30.51,0.1061,False,False,False,False,False,False,False,False,False,True,False
22.68,0.0557,False,False,False,False,False,True,False,False,False,False,True
25.16,0.1202,False,False,False,False,True,False,False,False,False,False,True
21.09,0.1588999999999999,False,False,False,False,False,False,False,False,False,False,False
19.08,0.0365,False,False,True,False,False,False,False,False,False,False,True
18.28,0.0866,False,False,True,False,False,False,False,False,False,False,False
15.11,0.4781,False,False,True,False,False,False,False,False,False,False,False
20.83,0.0885,False,False,False,False,False,False,False,False,False,True,True
23.98,0.0802,False,False,False,True,False,False,False,False,False,False,False
21.38,1.0194,False,False,False,False,False,False,False,False,False,True,False
23.96,0.0639,False,True,False,False,False,False,False,False,False,False,True
19.28,0.052,False,False,False,False,False,False,False,True,False,False,True
12.91,0.1107,False,True,False,False,False,False,False,False,False,False,True
25.29,0.0839,False,False,False,False,False,False,True,False,False,False,True
21.48,0.1066,False,False,False,False,False,False,False,False,False,True,False
19.38,0.2135,False,False,True,False,False,False,False,False,False,False,False
19.65,0.0941,False,False,False,False,False,False,False,False,True,False,True
21.28,0.4045,False,False,True,False,False,False,False,False,False,False,False
17.33,0.1041,False,False,False,False,False,False,True,False,False,False,False
18.56,0.226,False,False,False,False,False,False,False,False,False,True,False
14.23,0.6950000000000001,False,False,False,False,False,False,False,True,False,False,False
22.75,0.0428,False,False,False,False,False,False,False,False,True,False,True
16.03,0.2304999999999999,False,True,False,False,False,False,False,False,False,False,False
21.08,0.0899,False,True,False,False,False,False,False,False,False,False,True
17.89,0.1027,False,False,False,False,False,False,False,False,False,False,True
14.48,0.9114,False,False,False,False,False,False,False,False,False,True,False
20.21,0.6946,False,True,False,False,False,False,False,False,False,False,False
21.33,0.0876,False,False,False,False,False,False,False,False,False,True,True
30.51,0.2261,False,False,False,False,False,False,False,False,False,True,False
13.11,0.0729,False,True,False,False,False,False,False,False,False,False,True
15.37,0.0829,False,False,False,False,False,False,False,False,False,False,True
19.23,0.5323,False,False,False,False,False,False,False,False,False,True,False
25.86,0.0689,False,False,True,False,False,False,False,False,False,False,True
25.21,0.0387,False,False,True,False,False,False,False,False,False,False,True
19.48,0.4957,False,False,False,False,False,False,False,False,False,True,False
17.52,0.0553,False,False,False,False,False,True,False,False,False,False,True
22.14,0.0109,False,False,False,False,False,False,False,False,True,False,True
18.46,0.1896,False,False,False,False,False,False,False,False,True,False,False
18.23,0.70195,False,False,False,False,False,False,False,False,False,True,False
18.08,0.027,False,False,False,False,False,False,False,False,False,True,True
18.91,0.1245,False,False,False,False,False,False,False,False,False,True,True
25.44,0.0309,False,False,False,False,False,False,True,False,False,False,True
20.87,0.0798,False,False,False,True,False,False,False,False,False,False,False
21.42,0.1182,False,False,False,False,False,False,False,False,True,False,True
20.11,0.3384999999999999,False,False,False,False,False,False,True,False,False,False,False
17.48,0.0856,False,False,False,False,False,False,False,False,False,False,False
19.85,0.1899,False,False,False,True,False,False,False,False,False,False,False
20.08,0.0409,False,False,True,False,False,False,False,False,False,False,True
21.38,0.0853,False,False,False,False,False,False,False,False,False,False,False
15.36,0.11,False,False,True,False,False,False,False,False,False,False,True
17.48,0.5743,False,False,False,False,False,True,False,False,False,False,False
16.28,0.3978,False,False,True,False,False,False,False,False,False,False,False
17.95,0.1372,False,True,False,False,False,False,False,False,False,False,False
27.23,0.0699,False,False,False,False,False,True,False,False,False,False,False
23.21,0.0345,False,False,False,False,False,False,False,False,True,False,True
20.16,0.1074,False,True,False,False,False,False,False,False,False,False,True
17.95,0.201,False,True,False,False,False,False,False,False,False,False,False
25.5,0.087,False,False,False,False,False,False,False,False,False,False,False
17.89,0.2874,False,False,False,False,False,False,False,False,False,False,False
17.23,0.1106,False,False,True,False,False,False,False,False,False,False,True
20.98,0.0563,False,False,True,False,False,False,False,False,False,False,True
15.05,0.0851,False,False,False,False,False,False,False,False,False,True,True
17.58,0.1394,False,False,True,False,False,False,False,False,False,False,False
16.36,0.0805,False,False,True,False,False,False,False,False,False,False,True
24.56,0.0335,False,False,False,False,False,False,False,False,True,False,True
20.86,0.4372999999999999,False,False,True,False,False,False,False,False,False,False,False
18.91,0.0763,False,False,True,False,False,False,False,False,False,False,True
24.65,0.2143,False,False,False,False,False,False,False,False,False,False,False
19.23,0.3004,False,False,False,False,False,False,False,True,False,False,False
16.03,0.3076,False,True,False,False,False,False,False,False,False,False,False
18.28,0.658,False,False,False,False,False,False,False,False,False,True,False
22.35,0.0546,False,False,False,False,False,True,False,False,False,False,False
18.01,0.6376000000000001,False,True,False,False,False,False,False,False,False,False,False
